study_label,item_type,frame_tag,verbatim_quote,page,cited_work,note
"Cubas, Martinez (2018)",frame_use,SIG,"However, [49,54] found that rating agencies do indeed ‘collect and process CSR-related information in assessing the companies’ creditworthiness’, so companies that get a better CSR score are more likely to have a better rating.",3,,agencies collect and process CSR information; cited finding
"Cubas, Martinez (2018)",frame_use,STAKE,"The work in [51,52] found that good governance is a positive driver of credit ratings, and [53] stated that ‘trust underlies the corporate social responsibility (CSR) effects on long-term credit rating’.",3,,trust/reputation underlies CSR effect on long-term rating; cited
"Cubas, Martinez (2018)",mechanism_extra,,"The increasing sustainability consciousness of investors could provoke the above-mentioned change in the rating process, and that way, the risks associated with irresponsible sustainability behaviors would be penalized.",21,,investor-demand channel: raters would penalize irresponsible behavior; own claim
"Cubas, Martinez (2018)",counter,,"[33] found that there is an optimal level of CSR, beyond which debt financing costs increase. In line with this last paper, [34] found a U-shaped relationship between CSR and shareholder value.",2,,"cost burden: CSR beyond optimum raises debt financing costs; cited, non-linear"
"Cubas, Martinez (2018)",counter,,"However, none of those documents issued by the rating agencies stated clearly that they took into account sustainability issues when determining the credit ratings of the companies (neither measured as qualitative, nor quantitative variables). Therefore, it becomes an empirical issue.",2,,agencies never state sustainability enters ratings; incorporation uncertain
"Cubas, Martinez (2018)",counter,,"In the case of corporate bond markets, [5] found that the effect of being socially responsible is non-significant or just the opposite of what was expected.",3,,bond market: CSR effect null or reversed; cited counter-evidence
"Cubas, Martinez (2018)",counter,,"compared to other measures such as KLD scores, which, due to their agglutinative nature, make it difficult to identify firms that pursue value-destroying CSR practices [8].",2,,measurement noise: agglutinative scores hide value-destroying CSR; own claim
"Cubas, Martinez (2018)",key_citation,,"Standard & Poor’s, as stated in [45], analyzed both the financial and the business risk profiles of companies, which, according to [49], include CSR-related issues.",2,"[49] Attig, El Ghoul, Guedhami and Suh (2013)",anchor: CSR sits inside S&P business risk profile; cited three times
"Cubas, Martinez (2018)",key_citation,,"In contrast, [23] concluded that the CSP-CFP relationship was negative, and [5] found the same effect of CSR in the bond market.",2,[5] Menz (2010),counter anchor for bond/debt market; carries the debt risk premium claim
"Cubas, Martinez (2018)",key_citation,,The work in [53] stated that ‘CSR has a positive effect on long-term credit rating and such effect varies with country- and firm-level trust’.,3,"[53] Chang, Li and Shim (2017)",trust-creditworthiness anchor behind the reputation channel
"Cubas, Martinez (2018)",status,,,,,"MDPI Sustainability empirical article on whether S&P/Fitch ratings price sustainability measures; numbered references, no named theory frames, no climate-policy content."
D'Arcangelo et al (2025),frame_use,RISK,"Investors responsible for capital-allocation decisions need to be capable of assessing and correctly pricing firms’ transition risk, i.e. the risk of mitigation policies causing costly adjustments for firms due to – for instance – technology changes, stranded assets or changes in demand.",1,,"authors' transition-risk frame; tech change, stranded assets, demand shift"
D'Arcangelo et al (2025),frame_use,SIG,"However, not all investors may have the information and capacity to assess the environmental profile of their capital allocation decisions and borrowing firms’ transition risks.",1,,authors' information-asymmetry premise; investor capacity limits pricing
D'Arcangelo et al (2025),paris_policy,,A first result of this paper is that the negative relationship between firms’ environmental performance and the syndicated loans spreads becomes stronger as climate policy stringency rises. This relationship disappears when climate policies are lenient.,2,,climate-policy stringency moderates CER-COD; null when policy lenient
D'Arcangelo et al (2025),paris_policy,,"These policies decrease the marginal cost of abatement by subsidizing green innovation2 or the deployment of clean technologies (Jaffe et al., 2005). Some firms are ready to adopt the technologies and benefit from the subsidy, whereas other will not and could lose competitiveness as a result.",2,,"technology-push channel; adopters gain, non-adopters lose competitiveness"
D'Arcangelo et al (2025),paris_policy,,"At the same time, market-pull policies impose compliance costs for high emitting firms, worsening their financial and economic prospects and raising lending risks. If priced in, these risks should lead to lower loan spreads for green firms relative to brown firms (panel C).",5,,market-pull carbon-price channel; compliance cost raises lending risk for brown
D'Arcangelo et al (2025),paris_policy,,"If multi­ nationals systematically relocate production in jurisdictions with lower policy stringency (the ‘pollution haven’ hypothesis) to reduce their exposure to domestic policies, then domestic policy might be of limited importance for investors.",6,,attenuation: leakage/relocation makes domestic climate policy exposure weak
D'Arcangelo et al (2025),counter,,Bingler et al. (2022) suggests that ESG disclosure is mostly “cheap-talk” and is associated with cherry-picked disclosure of information that is not relevant to the firm’s exposure to climate change risks and policies.,3,,greenwashing/cheap-talk counter; cited finding used to rationalise ESG null
D'Arcangelo et al (2025),counter,,"ESG scores are financially material to investors but, as they may provide little information on a firms’ actual environmental per­ formances and their transition risks, they are not useful instruments to price the effect of mitigation policies in loan decisions.",11,,ratings-subsumption counter: ESG priced but uninformative on transition risk
D'Arcangelo et al (2025),key_citation,,"Since Chava (2014), several papers have analysed how financial markets incorporate information on firms’ environmental performance by adjusting required returns and, in turn, firms’ cost of capital.",1,Chava (2014),origin anchor for environmental performance to cost of capital literature
D'Arcangelo et al (2025),key_citation,,"We distinguish between “market-pull” and “technology-push” climate policies, following Jaffe et al. (2005).",5,Jaffe et al. (2005),theoretical backbone: policy-instrument channel taxonomy
D'Arcangelo et al (2025),key_citation,,"These papers show that investors require a premium when investing in firms with worse environmental performance (Delis et al., 2019; Bolton and Kacperczyk, 2020, 2021; Ehlers et al., 2022). This premium is often interpreted as evidence that investors price-in transition risks.",1,"Delis et al., 2019","carbon/transition-risk premium anchor, reused in hypothesis development"
D'Arcangelo et al (2025),status,,,,,"Journal of Environmental Management empirical article; theory compact in Sec. 3.1 hypotheses, climate-policy moderation of the CER-cost-of-debt link is the core claim."
Delis et al (2021),frame_use,RISK,we estimate whether banks price-in the use of fossil fuel reserves and the respective transition risk which is “the financial impact of fossil fuel assets losing their value in the needed rapid transition to a low-carbon economy aimed at stabilizing the climate”,3,,authors' core frame: transition/climate policy risk priced by banks
Delis et al (2021),paris_policy,,"If the Paris Agreement is implemented, fossil fuel firms must start this transition immediately, and this entails substantial costs that financial markets in general and banks in particular should price.",3,,own claim: Paris implementation forces costly immediate transition banks must price
Delis et al (2021),mechanism_extra,,The large fraction of potentially unburnable fossil fuels under the target of target of limiting global warming to 2°C above pre-industrial levels and/or the transition risk to greener technology suggest that banks should price in the extra risk of fossil fuel firms in loan contracts.,8,,"stranded-asset channel; central hypothesis, positive sign (verbatim typo retained)"
Delis et al (2021),paris_policy,,"the (relatively unexpected) 2015 Paris climate agreement was a departure that brought policy action much more forward in time. Hence the transition to a low-carbon economy became a medium (and even a short) term concern for fossil fuel firms, substantially increasing transition risk",41,,"own claim: Paris shortened risk horizon, amplifying pricing within loan maturities"
Delis et al (2021),mechanism_extra,,"Our premise is that loans with a relatively long maturity will bear higher environmental policy risk for the banks, because of the underlying uncertainty on relevant policy innovations in the more distant future.",22,,maturity/horizon channel: policy uncertainty grows with loan tenor
Delis et al (2021),mechanism_extra,,Fossil fuel firms will then need to increase their credit volume to make up for the “lost access to equity finance.” The effect should be more pronounced for fossil fuel firms that are highly exposed to climate policy and transition risks.,23,,investor-exclusion/divestment channel; substitution from equity toward bank credit
Delis et al (2021),mechanism_extra,,"“environmentally-friendly” or “green banks” (i.e., those aligning their business strategy with environmental/climate principles) should also demand a larger compensation for the risk of stranded fossil fuels.",24,,lender-heterogeneity channel: green lenders price stranding risk more
Delis et al (2021),counter,,The term carbon bubble precisely refers to the probability that financial markets misprice the risk that fossil fuel reserves will become stranded.,43,,attenuation: markets may misprice stranding risk (footnote definition)
Delis et al (2021),key_citation,,"Similarly, McGlade and Ekins (2015) estimate that 33% to 35% of current global oil reserves, 49% to 52% of current global gas reserves, and 82% to 88% of global coal reserves will be unusable.",7,McGlade and Ekins (2015),unburnable-carbon anchor quantifying stranding exposure
Delis et al (2021),key_citation,,"The Carbon Tracker Initiative in their 2011 and 2013 reports is the first effort to estimate the amount of stranded assets of listed companies based on the global carbon budget from 2000-2050, resulting from limiting global warming to 2°C above the pre-industrial level.",7,"Carbon Tracker Initiative (2011, 2013)",stranded-assets anchor grounding the carbon-budget premise
Delis et al (2021),key_citation,,"A hypothesis that relates to empirical findings from the tobacco industry (e.g., part of the analysis of Hong and Kacperczyk (2009)) suggests that if investors start taking the risk of stranded fossil fuel reserves into account",23,Hong and Kacperczyk (2009),sin-stock/divestment anchor for lost-equity-access hypothesis
Delis et al (2021),status,,,,,Swiss Finance Institute working paper (bank loan pricing); compact stranded-asset/transition-risk theory; literature review sits in Internet Appendix.
Devalle et al (2017),frame_use,RISK,ESG commitments may serve as risk mitigation on their credit rating in two ways: ESG factors affect borrowers’ cash flows and companies’ default probability estimation.,53,,"authors' own claim: two risk channels, cash flows and default probability"
Devalle et al (2017),frame_use,SIG,"banks and financial intermediaries may include ESG with the creditworthiness evaluation of their borrowers as the reduction in the default probability estimation, through which both counterparts take an advantage. Specifically, ESG disclosure leads to information asymmetry reduction because of more and better information gathering.",60,,"authors' claim: disclosure cuts information asymmetry, enabling lower borrower pricing"
Devalle et al (2017),frame_use,STAKE,"To supporrt these empirrical studies w with theoreticaal concepts, sttakeholder theeory suggests that higher social s performannce will decreaase firm risk through reducedd financial and operating riskks",57,,explicitly named stakeholder theory; social performance lowers firm risk; OCR-garbled page
Devalle et al (2017),mechanism_extra,,The study of Grunert et al. (2005) is one of the first works that demonstrates how the combination of financial and non-financial factors leads to more accuracy in the prediction of a default event.,54,,lender screening channel: non-financial data sharpens default prediction; cited finding
Devalle et al (2017),mechanism_extra,,"environmental concerns pay a premium on the cost of debt financing, and those firms have lower credit ratings assigned to them.",56,,environmental risk-pricing channel; cited Bauer & Hann finding anchoring H1
Devalle et al (2017),mechanism_extra,,"They acknowledge that social and environmental activities statistically impact on loan financing, and in greater detail, social issues have less cost reduction in loan financing than environmental ones.",55,,environmental dimension gives larger loan-cost reduction than social; cited Hoepner finding
Devalle et al (2017),counter,,"very few works consider the nexus between ESG and debt financing and do not have unidirectional results. Specifically, one stream of research provides a positive connection, whereas other studies present exactly the opposite results.",55,,evidence base mixed; no clear-cut direction for the ESG-debt link
Devalle et al (2017),counter,,"In contrast to the aforementioned studies, there is the research of Menz (2010), whose findings suggest that companies with higher ESG-CSR commitment face higher corporate bonds spreads and, hence, higher credit ratings.",55,,opposite direction: ESG commitment raises bond spreads / risk premium; cited finding
Devalle et al (2017),key_citation,,"The literature seemingly has not thoroughly investigated the relation between environmental issues and credit rating. In fact, only one study of this nature could be found (Bauer & Hann, 2010).",56,"Bauer & Hann, 2010",sole anchor for the environmental performance-credit rating hypothesis H1
Devalle et al (2017),key_citation,,"Finally, the research of Stellner, Klein, and Zwergel (2015) contributes to the literature by providing a scale position on these opposite results.",55,"Stellner, Klein, and Zwergel (2015)",risk-mitigation anchor; also basis for model choice and results comparison
Devalle et al (2017),key_citation,,Zeidan et al. (2015) have questioned whether the default probability depends also on the future sustainability and the long-term impact on socially responsible initiatives.,54,Zeidan et al. (2015),anchor for sustainability credit scoring and default-probability channel
Devalle et al (2017),status,,,,,"Journal article, International Journal of Business and Management 12(9); ESG scores to Moody's credit ratings, 56 Italian/Spanish firms. Thin original theory: hypothesis development leans on cited findings. No Paris Agreement or climate-policy content. Pages 57 and 59 are OCR-garbled with doubled letters."
Ding et al (2022),frame_use,RISK,"If investors perceive higher environmental risks brought by environmental administrative penalties, they will require a higher return on debt capital (risk premium).",3,,core risk-premium frame: env risk from penalty raises required debt return
Ding et al (2022),frame_use,SIG,These researchers hold that environmental reporting diminishes the degree of information asymmetry and the risk compensation required by creditors,2,,information-asymmetry channel: disclosure lowers creditor risk compensation
Ding et al (2022),frame_use,STAKE,"Companies can respond to legitimacy threats through two actions (Lindblom, 1994). The first is to change public perception. The second is to manipulate public perception by diverting public attention.",3,,legitimacy theory; disclosure as legitimacy management/manipulation
Ding et al (2022),frame_use,OTHER:asset_pricing,"Asset Pricing Theory tries to elucidate the value or price of assets paid in the future under undefined circumstances, where assets are generally financial instruments, and the price is the market’s values in equilibrium.",2,,"paper's declared theoretical foundation, named asset pricing theory"
Ding et al (2022),mechanism_extra,,"According to Jung et al. (2018), a firm’s exposure to carbon risk raises the uncertainty of its future cash flows, it likely influences default risk and leads the lenders to integrate carbon risk into their overall risk assessment.",2,,carbon-risk channel: cash-flow uncertainty to default risk to lender pricing; cited
Ding et al (2022),mechanism_extra,,"On the one hand, when the increment of EID is negative under the environmental administrative penalty, the amount of information that banks can refer to when making decisions will be reduced, which will lead to an increase in credit risk.",3,,authors' own channel: less disclosed information raises bank credit risk
Ding et al (2022),counter,,"Researchers found that managers tend to obfuscate adverse organizational outcomes, avoid negative information, or provide misleading information",3,,greenwashing/obfuscation after adverse events weakens disclosure signal; cited
Ding et al (2022),counter,,"Although annual environmental disclosures can reduce information asymmetry and reduce environmental risk, the impact of incremental EID on the COD depends on whether banks can make loan decisions using incremental information.",3,,attenuation: link conditional on banks identifying and using disclosure
Ding et al (2022),key_citation,,"Fisher and Hall (1969) found that rational man is risk-averse; for low risk, the required return is lower; for high risk, the required return is relatively high.",2,Fisher and Hall (1969),risk-aversion/risk-premium anchor for the COD prediction
Ding et al (2022),key_citation,,"Legitimacy is a generalized perception in which the actions of an organization are desirable, proper, or appropriate within some social system of norms, values, beliefs, and definitions (Suchman, 1995).",3,"Suchman, 1995",legitimacy theory anchor for disclosure behaviour
Ding et al (2022),key_citation,,Chen et al. (2011) found that both the firm’s credit risk and information risk increased after receiving punishment from regulators for corporate fraud.,3,Chen et al. (2011),anchor for adverse-event to information/credit-risk mechanism authors endorse
Ding et al (2022),status,,,,,"Journal of Cleaner Production empirical paper on Chinese manufacturers; asset-pricing/risk-premium frame, penalty-disclosure-COD mediation; no Paris/climate-policy claims."
Drago et al (2018),frame_use,RISK,"Our findings are consistent with the risk mitigation view, highlighting the benefits derived from CSR commitment. Consequently, CSR engagement can function as a tool for improving firm's creditworthiness.",644,,"risk mitigation view named; CSR lowers credit risk, raises creditworthiness"
Drago et al (2018),frame_use,AGENCY,"If corporate lenders adopt this view, they may give greater relevance to the increase in firms' fixed cost associated with greater CSR investments, which may increase firms' default risk. In this case, investors may require greater spreads to finance firms with better CSR ratings",646,,"overinvestment/cost-burden view; fixed costs raise default risk, positive sign"
Drago et al (2018),frame_use,SIG,Reliable CSR measures make it easier to identify sustainability risks and to incorporate this information in market prices.,650,,information channel; reliable ratings let markets price sustainability risk
Drago et al (2018),frame_use,STAKE,"In addition, CSR could also help firms mitigate potential conflicts",645,,stakeholder conflict mitigation channel (Freeman); own theory development
Drago et al (2018),frame_use,OTHER:varieties_of_capitalism,"In vector X, we also include a set of variables to control for country effects by following the Varieties of Capitalism (VoC) approach. This approach suggests that the different models of the economic system adopted by each country affect the national financial market",648,,named VoC theory; national institutional model shapes credit pricing
Drago et al (2018),counter,,"Measuring CSR is a challenging task: It involves the assessment of a broad range of economic, environmental, governance, and social factors. The different measurement solutions are unavoidably subjective, and the existing studies provide a remarkable variety of different CSR performance measures.",650,,measurement subjectivity/heterogeneity of CSR proxies weakens detected link
Drago et al (2018),counter,,"governance scores are driven significantly by the country‐level institutional structures. As a result, the impact of governance score is weaker when the country‐level institutional quality is already taken into account by other variables",649,,subsumption: score effect vanishes once country institutional quality controlled
Drago et al (2018),counter,,We must distinguish corporate scandals from other limited events,647,,"bad-news heterogeneity; scandals pre-anticipate downgrades, so no CDS reaction"
Drago et al (2018),key_citation,,"two main views (Goss & Roberts, 2011): the risk mitigation view and",645,"Goss & Roberts, 2011",organizes whole theory section into risk mitigation vs overinvestment
Drago et al (2018),key_citation,,"holders' theory (Friedman, 1970) and predicts a negative impact of",645,"Friedman, 1970",shareholder theory anchor grounding the overinvestment hypothesis H2
Drago et al (2018),key_citation,,"between CSR engagement and credit risk (Chen, Hung, & Lee, 2018).",645,"Chen, Hung, & Lee, 2018",anchor for risk mitigation view: CSR lowers idiosyncratic/credit risk
Drago et al (2018),status,,,,,"Corporate Social Responsibility and Environmental Management research article; CSR rating vs CDS spreads, European firms; no Paris/climate-policy theory; two-column text is line-interleaved so quotes are short."
"Drago, Carnevale (2020)",frame_use,RISK,"lenders may be concerned about the likelihood that CSR-related issues (e.g., a corporate scandal or a negative environmental event) increase default risk and jeopardize the ability of the borrower to repay his debts.",5,,risk mitigation view; environmental/CSR events raise default risk; authors' H1a rationale
"Drago, Carnevale (2020)",frame_use,AGENCY,"Under the overinvestment view, investors regard investments in CSR as a waste of scarce resources. Excessive costs for handling the various relations with a high number of stakeholders may increase complexity and reduce profitability, leading to higher borrowing costs.",4,,overinvestment/agency view; CSR as cost burden raising borrowing costs; authors' H1b
"Drago, Carnevale (2020)",frame_use,STAKE,"By engaging in CSR, firms can improve relationships with their stakeholders [19], resolve conflicts between various groups of stakeholders [20], and be less exposed to legal, reputational, and regulatory risks relating to controversial or irresponsible activities [9].",3,,stakeholder/reputation channel lowering legal and regulatory risk exposure; literature review
"Drago, Carnevale (2020)",frame_use,SIG,"According to the economic theory, rating agencies perform at least two main functions: signaling and monitoring.",8,,CSR ratings signal and monitor CSP; construct-measurement discussion in methods
"Drago, Carnevale (2020)",frame_use,OTHER:institutional,"The institutional theory argues that the national institutional and economic environment influences the likelihood that companies will assume CSR compliant behavior [46,47], and that variation in CSP across firms is explained by variation in national-level institutions [12].",6,,institutional theory grounds country-ESG moderation hypothesis H2; authors' own framing
"Drago, Carnevale (2020)",mechanism_extra,,"Given their continuous monitoring activity and long-term customer relationship with firms, banks are considered “quasi-insiders” of firms. Therefore, banks can assess firms’ creditworthiness better than other entities.",2,,relationship-lending/monitoring information channel: banks price CSP better than other investors
"Drago, Carnevale (2020)",counter,,"If credit ratings fully incorporate CSR-related information that is relevant for lenders, then we will observe a non-significant impact of CSR ratings when we include borrowers’ credit ratings in our model.",9,,ratings subsumption: credit ratings may already impound CSR information; authors' own caveat
"Drago, Carnevale (2020)",counter,,"Conversely, in countries with low ESG performance, high CSR ratings may bring lower benefits to the borrower or may be associated with higher borrowing costs.",7,,conditional attenuation/reversal: high CSP penalised in low-ESG countries; authors' H2
"Drago, Carnevale (2020)",key_citation,,The existing literature has proposed two different hypotheses explaining the CSP–CFP link: the risk mitigation view and the overinvestment view [8].,4,Goss and Roberts [8],supplies the risk-mitigation vs overinvestment dichotomy structuring the whole paper
"Drago, Carnevale (2020)",key_citation,,"Bae et al. [15] combine the risk mitigation hypothesis with the overinvestment hypothesis, suggesting a non-linear relationship between CSP and loan spreads.",5,Bae et al. [15],anchor for optimal-level/nonlinear CSR-loan spread theory behind H1c
"Drago, Carnevale (2020)",key_citation,,"In line with Stellner et al. [5], we claim that the benefits resulting from CSR investments are context driven.",2,Stellner et al. [5],"anchor for country-moderated, context-driven CSP-credit risk link"
"Drago, Carnevale (2020)",status,,,,,"MDPI Sustainability empirical article, CSR ratings and European syndicated loan spreads; rich theory sections; no Paris-Agreement or climate-policy-specific claims."
Du et al (2015),frame_use,SIG,"In essence, corporate environmental information disclosure is generally viewed as an important type of soft information. As the logical extension, we predict that lenders applaud a firm’s environmental performance and thus charge lower interest rates to firms that are more eco-friendly.",180,,soft-information/asymmetry channel; env disclosure -> lower interest rates
Du et al (2015),frame_use,STAKE,"Drawing on the integrative theory framework (Garriga and Melé 2004), environmental conservation is consistent with social demand and values and thus is an important channel for firms to obtain legitimacy and prestige (Garriga and Melé 2004; Kim et al. 2012).",183,,integrative-theory branch: env conservation buys legitimacy and prestige
Du et al (2015),frame_use,RISK,"Consequently, better environmental performance can reduce operational costs, increase profitability, and reduce debt default risk. As a result, environmentally friendly firms will be charged a lower cost of debt.",183,,core risk logic: lower operating cost and default risk -> lower cost of debt
Du et al (2015),frame_use,AGENCY,"On the other hand, the stakeholder expenses view argues that CSR is positively related with the cost of financing because CSR requires costly dispersal of scarce resources, reduces corporate value, and increases corporate default risks (Barnea and Rubin 2010; Goss and Roberts 2011; Kim et al. 2012).",182,,stakeholder-expenses/cost-burden view: CSR raises financing cost
Du et al (2015),frame_use,OTHER:ethical,"Moreover, lenders tend to consider managers’ personalities and reputations as crucial factors when they assess interest rates (Moulton 2007). In summary, lenders favor and reward firms that have credibility, trustworthiness, reliability, and responsibility, and thus grant them lower interest rates on debt.",183,,ethical-theory branch: trustworthiness and green reputation rewarded by lenders
Du et al (2015),frame_use,OTHER:political,"In this regard, the political careers of officials may closely depend on meeting emission reduction targets, and thus environmental performance can enhance political connections with important officials. As a result, in China, environmental conservation endeavors can mitigate risks of government sanctions, regulations, and shutdowns.",183,,political-theory branch: env perf -> political connections -> fewer sanctions
Du et al (2015),mechanism_extra,,"the China Banking Regulatory Commission (CBRC) requires all state-owned commercial banks to strictly execute green-credit policies in which environmental performance is a crucial benchmark (CBRC 2007; SINA 2006). As a result, commercial banks in China charge lower interest on debt and offer higher credit line to eco-friendly firms.",183,,green-credit mandate: regulator forces banks to price env perf into loans
Du et al (2015),counter,,"Based on above discussion, we predict that corporate environmental performance and internal control substitute for rather than reinforce each other to reduce the cost of debt.",184,,"attenuation: internal control substitutes for CEP, weakening CEP-COD link"
Du et al (2015),key_citation,,"Garriga and Melé (2004) document four CSR theories: (1) ethical theory; (2) integrative theory; (3) political theory; and (4) instrumental theory. Following the framework in Garriga and Melé (2004), we elaborate the association between corporate environmental performance and the cost of debt.",183,Garriga and Melé (2004),organizing four-CSR-theory framework for H1 development
Du et al (2015),key_citation,,"Although firms can engage in CSR activities by improving CSR-strengths and reducing CSR-weaknesses, corporate risks are more sensitive to negative effects than positive effects (Du 2014a; Zyglidopoulos et al. 2012).",182,Zyglidopoulos et al. (2012),CSR-strengths vs CSR-weaknesses distinction; risk asymmetry anchor
Du et al (2015),key_citation,,"This view recognizes firms as a nexus of explicit and implicit contracts between managers and various stakeholders (e.g., lenders, consumers, suppliers, government officials, labor unions, and communities) who provide many crucial resources for a firm’s competitive advantage (Cornell and Shapiro 1987).",182,Cornell and Shapiro (1987),stakeholder value maximization / nexus-of-contracts anchor
Du et al (2015),status,,,,,"gate2_flag:year_mismatch; J Bus Ethics 143:179-207; accepted+online+(c) 2015, issue 2017. Same paper. | J Bus Ethics empirical study of Chinese private-owned firms; theory organised via Garriga & Melé's four CSR theories; no climate/Paris content."
Du et al (2022),frame_use,SIG,"The higher the degree of information asymmetry, the higher the risk premium required by creditors, and the higher the cost of corporate debt financing.",pdf-4,,core information-asymmetry/signalling frame stated as risk-premium channel to COD
Du et al (2022),frame_use,STAKE,Stakeholder theory also provides a reasonable explanation for the intrinsic motivation of enterprises to obtain more favorable credit support by disclosing environmental information.,pdf-4,,stakeholder theory named; banks as key stakeholder granting credit
Du et al (2022),frame_use,RISK,"Better corporate social responsibility helps companies establish more stable relationships with consumers, employees, and operators, thereby reducing business risks and bankruptcy risks (Brooks and Oikonomou 2018). Creditors demand lower debt interest on companies with better social responsibilities.",pdf-4,,"risk-mitigation frame: CSR lowers business/bankruptcy risk, hence debt interest"
Du et al (2022),mechanism_extra,,"creditors can demand a lower risk premium and tend to formulate relatively favorable interest rate policies and loose agreement terms in the process of bank credit decision-making, thus reducing the debt financing cost of enterprises (Li et al. 2019).",pdf-4,,contract-terms/covenant channel: rate policy plus looser agreement terms
Du et al (2022),mechanism_extra,,The “green credit” economic policy proposed by the Ministry of Environmental Protection of China encourages creditors to fully evaluate and review the company’s environmental information before making a lending decision.,pdf-4,,regulatory credit-allocation channel; green credit policy mandates lender screening
Du et al (2022),counter,,"Although they may obtain more credit support, they cannot reduce the necessary rate of return required by stakeholders, so it is difficult to obtain interest rate concessions provided by creditors, and thus they cannot reduce their debt financing costs.",pdf-9,,authors' attenuation: heavy polluters' risk floor blocks rate concessions; null COD result
Du et al (2022),counter,,"the lack of verification of the quality of environmental information disclosure leads to the problems of environmental information disclosure of enterprises, such as disclosing good news but not bad, disclosing empty but not real",pdf-9,,greenwashing/unverified-disclosure noise weakens the disclosure-COD link
Du et al (2022),counter,,"Tang and Li (2008) show that there is no significant relationship between the quality of environmental information disclosure and corporate debt financing, which is mainly caused by creditors’ weak awareness of corporate environmental risks.",pdf-9,,cited null; attenuation via creditors' weak awareness of environmental risk
Du et al (2022),key_citation,,"This situation creates the problem of adverse selection; that is, the party with missing information cannot make the correct decision (Akerlof 1970).",pdf-3,Akerlof 1970,adverse-selection anchor underpinning H1 disclosure-credit argument
Du et al (2022),key_citation,,Signal transmission theory is fundamentally concerned with reducing the information asymmetry between the two parties (Spence 2002; Bergh et al. 2014).,pdf-4,Spence 2002; Bergh et al. 2014,signalling-theory anchor for H2 disclosure-cost-of-debt argument
Du et al (2022),key_citation,,Stakeholder theory believes that pressure from stakeholders is the main factor that motivates corporate environmental activities (Buysse and Verbeke 2003; Cooper et al. 2018).,pdf-3,Buysse and Verbeke 2003; Cooper et al. 2018,stakeholder-theory anchor opening the hypothesis development
Du et al (2022),status,,,,,"Environmental Science and Pollution Research empirical article on Chinese heavily polluting listed firms; H2 (cost of debt) rejected, so several counter-arguments sit in the results discussion; no Paris-Agreement or climate-policy-specific theory claim."
Dumrose & Höck (2023),frame_use,RISK,"This transition can affect a company’s business outlook through various channels (Network for Greening the Financial System 2019). Hence, climate change affects a company’s risk profile through both physical and transitional climate risk.",1,,authors' core frame: climate change enters firm risk profile via physical and transition risk
Dumrose & Höck (2023),mechanism_extra,,"Those credit fundamentals help predict a company’s default probability (Altman, 1968, 1989). Thus, we expect companies with lower carbon-risk should be less likely to default.",1,,"credit-fundamentals channel: climate risk hits leverage/profitability/liquidity, then default probability"
Dumrose & Höck (2023),mechanism_extra,,"Moreover, companies with a better management are associated with a better financial performance (Melnyk et al., 2003) and thus should have a lower credit-risk (Sharfman and Fernando, 2008). We, therefore, expect that the importance of management in­ creases with a company’s exposure.",2,,management-capability channel; basis of H1c and H2 (management matters more when exposure high)
Dumrose & Höck (2023),paris_policy,,"Companies perceive regulatory risk as the most important risk related to climate change (Sakhel, 2017) and many institutional investors realize that they already need to account for this risk (Krueger et al., 2020).",2,,"salience premise: climate regulatory risk is the dominant perceived risk, already priced"
Dumrose & Höck (2023),paris_policy,,"both the announcement of a more ambitious climate policy (Liu and Qiao, 2021) and its stricter enforcement (Seltzer et al., 2021) negatively affect credit-risk of highly exposed companies. Thus, both a) exposure to and b) management of carbon-risk should gain importance when climate policy ambitions are high.",2,,amplification claim behind H3: ambitious climate policy raises salience of exposure and management
Dumrose & Höck (2023),paris_policy,,"a more ambitious climate regulatory environment, especially when implemented early, could directly decrease the costs of a low-carbon transition by setting the right incentives, allowing for low-carbon infrastructure to be developed in a timely manner, and reducing the likelihood of a disorderly and costly disruptive transition of the economy",6,,"attenuation: early ambitious policy lowers transition cost, rationalizes rejected H3b"
Dumrose & Höck (2023),counter,,"In contrast to our study, Seltzer et al. (2021) focuses on negative incentives (e.g., state-level fines), while it does not account for positive ones (e.g., subsidies).",6,,conditionality: sign of the policy effect depends on punitive vs supportive policy design
Dumrose & Höck (2023),key_citation,,"The later finding contradicts, Seltzer et al. (2021) who find that stricter climate regulatory frameworks amplify the risk-enhancing relation between carbon-risk exposure and credit-risk.",6,Seltzer et al. (2021),"central antecedent: anchors H1b and H3, and the paper's contradicted H3b result"
Dumrose & Höck (2023),key_citation,,"In line with current research (Capasso et al., 2020; Seltzer et al., 2021), we expect higher exposure to be linked to higher credit spreads.",2,"Capasso et al., 2020",sole cited basis for the exposure-raises-spreads expectation (H1b)
Dumrose & Höck (2023),key_citation,,"Given the importance of a company’s regulatory environment for its transitional climate risk (NGFS, 2019), it should be considered when investigating the relationship between carbon-risk and credit-risk.",1,"NGFS, 2019",supplies transition-risk framing and motivates the regulatory-environment moderation
Dumrose & Höck (2023),status,,,,,"Finance Research Letters short empirical letter; no theory section - hypotheses derived briefly in the introduction, extra mechanism/policy argument sits in the discussion."
Duong et al (2025),frame_use,RISK,"In summary, carbon pricing and other transition risks can reduce corporate cash flows, increase cash flow volatility and obsolescence, and hence, cause high carbon emission firms, ceteris paribus, to exhibit higher credit risk.",2,,"risk-mitigation frame: carbon pricing/transition risk lowers cash flows, raises credit risk"
